        ID,333,444,555,222,333bf,333oh,333ft,333fm,minx,pyram,sq1,clock,skewb,666,777,444bf,555bf,333mbf,name (competitor w/o WCAID)
2015TAKA06, X , X , X ,   ,   X ,     ,     ,     ,   X ,    ,   ,     ,     , X ,   ,     ,     ,      ,
2014SHIO01, X ,   ,   ,   ,     ,     ,     ,     ,     ,    ,   ,     ,     ,   ,   ,     ,     ,      ,
2006OOKU01, X ,   , X ,   ,   X ,     ,     ,     ,     ,  X ,   ,     ,     , X , X ,   X ,   X ,    X ,
2005AKUZ01, X ,   ,   ,   ,   X ,     ,     ,     ,     ,    ,   ,     ,     ,   ,   ,     ,     ,    X ,
2012OKUH01, X , X , X ,   ,     ,   X ,     ,     ,     ,  X ,   ,     ,   X ,   ,   ,     ,     ,      ,
2006ARAK01, X ,   ,   , X ,     ,     ,     ,     ,     ,    ,   ,     ,     ,   ,   ,     ,     ,      ,
2015OUCH01, X ,   ,   , X ,     ,     ,     ,   X ,     ,    ,   ,     ,     ,   ,   ,     ,     ,      ,
2015YAMA05, X ,   ,   ,   ,     ,     ,     ,     ,     ,  X ,   ,     ,   X ,   ,   ,     ,     ,      ,
2011PIHE01, X , X , X , X ,     ,   X ,     ,     ,   X ,  X , X ,     ,     , X , X ,     ,     ,      ,
2015KOUN01, X , X ,   , X ,     ,     ,     ,     ,     ,    ,   ,     ,     ,   ,   ,     ,     ,      ,
0         , X ,   ,   ,   ,     ,     ,     ,     ,     ,  X ,   ,     ,   X ,   ,   ,     ,     ,      ,福田 翔
2015TAKE01, X , X , X , X ,     ,   X ,     ,     ,     ,    ,   ,     ,     , X ,   ,     ,     ,      ,
0         , X ,   ,   ,   ,     ,     ,     ,     ,     ,    ,   ,     ,     ,   ,   ,     ,     ,      ,中村 健
2007SUGA01, X , X , X , X ,     ,   X ,   X ,   X ,   X ,  X ,   ,   X ,   X , X ,   ,     ,     ,      ,
2008TAKA01, X , X , X , X ,   X ,   X ,   X ,   X ,   X ,    ,   ,     ,     , X , X ,   X ,   X ,    X ,
2005UEDA01, X , X ,   , X ,     ,     ,     ,     ,   X ,    ,   ,     ,     ,   ,   ,     ,     ,      ,
2015DAIN01,   , X , X ,   ,     ,     ,     ,     ,     ,    ,   ,     ,     , X , X ,     ,     ,      ,
2015OKAM01, X ,   ,   ,   ,     ,     ,     ,     ,     ,    ,   ,     ,     ,   ,   ,     ,     ,      ,
2015TAKA07, X ,   ,   ,   ,     ,     ,     ,     ,     ,    ,   ,     ,     ,   ,   ,     ,     ,      ,
2014YAMA02, X ,   ,   ,   ,     ,     ,     ,     ,     ,    ,   ,     ,     ,   ,   ,     ,     ,      ,
0         , X ,   ,   ,   ,     ,     ,     ,     ,     ,    ,   ,     ,     ,   ,   ,     ,     ,      ,佐藤 令
2012YAMA01, X , X , X ,   ,     ,     ,     ,     ,     ,  X ,   ,     ,     ,   ,   ,     ,     ,      ,
2008DOHE01, X , X ,   ,   ,     ,   X ,     ,     ,   X ,    , X ,   X ,     ,   ,   ,     ,     ,      ,
2009ISHI01, X , X ,   ,   ,     ,     ,     ,   X ,     ,    ,   ,   X ,   X ,   ,   ,     ,     ,      ,
2007OMUR01, X , X , X , X ,     ,   X ,     ,     ,   X ,    ,   ,     ,     , X , X ,     ,     ,      ,
2015SAIT03, X ,   ,   , X ,     ,     ,     ,     ,     ,    ,   ,     ,     ,   ,   ,     ,     ,      ,
0         , X ,   ,   ,   ,     ,     ,     ,     ,     ,  X ,   ,     ,     ,   ,   ,     ,     ,      ,髙柳 麻結
2012FUJI01, X ,   ,   ,   ,     ,   X ,     ,     ,     ,    ,   ,     ,     ,   ,   ,     ,     ,      ,
2014OKAD01, X ,   ,   ,   ,     ,   X ,     ,     ,     ,    ,   ,   X ,   X ,   ,   ,     ,     ,      ,
2016SUZU01, X ,   ,   ,   ,     ,     ,     ,     ,     ,    ,   ,     ,     ,   ,   ,     ,     ,      ,
2006TOMI04,   ,   ,   , X ,     ,     ,     ,     ,     ,    ,   ,     ,     ,   ,   ,     ,     ,      ,
2011IIDA01, X , X , X ,   ,     ,     ,     ,     ,     ,    ,   ,     ,     , X , X ,     ,     ,      ,
2014ASHI01, X ,   ,   , X ,     ,     ,     ,     ,     ,    ,   ,     ,     ,   ,   ,     ,     ,      ,
2014KABA01, X , X , X ,   ,     ,     ,     ,     ,     ,  X ,   ,     ,     ,   ,   ,     ,     ,      ,
2016UEDA01, X , X , X ,   ,     ,     ,     ,     ,     ,    ,   ,     ,     ,   ,   ,     ,     ,      ,
2010TANA02, X ,   ,   ,   ,     ,     ,     ,   X ,     ,  X ,   ,   X ,     ,   ,   ,     ,     ,      ,
2012YOSH02, X ,   ,   , X ,     ,   X ,     ,     ,     ,    ,   ,     ,     ,   ,   ,     ,     ,      ,
2011YOSH03, X ,   ,   ,   ,     ,     ,     ,     ,     ,  X ,   ,     ,     ,   ,   ,     ,     ,      ,
2016TANA01, X , X ,   , X ,     ,   X ,     ,     ,     ,  X , X ,   X ,     ,   ,   ,     ,     ,      ,
2012SOHO01, X , X ,   , X ,     ,     ,     ,     ,     ,    ,   ,     ,     ,   ,   ,     ,     ,      ,
2005SHIM02, X ,   ,   ,   ,     ,     ,     ,     ,     ,    ,   ,     ,     ,   ,   ,     ,     ,      ,
2005TOMI01,   ,   ,   , X ,     ,     ,     ,     ,     ,    ,   ,     ,     ,   ,   ,     ,     ,      ,
2015HAYA02, X ,   ,   ,   ,     ,     ,     ,     ,     ,    ,   ,     ,     ,   ,   ,     ,     ,      ,
0         , X , X ,   , X ,   X ,     ,     ,     ,     ,    ,   ,     ,     ,   ,   ,     ,     ,      ,和田 俊輔
2014AKAB01, X ,   ,   ,   ,     ,     ,     ,     ,     ,    ,   ,     ,     ,   ,   ,     ,     ,      ,
2014ITOK01, X ,   ,   ,   ,     ,     ,     ,     ,   X ,    ,   ,     ,     ,   ,   ,     ,     ,      ,
2006GUNJ01, X ,   , X ,   ,     ,   X ,     ,     ,     ,    ,   ,     ,     ,   ,   ,     ,     ,      ,
2009FUSH01, X ,   , X ,   ,     ,   X ,     ,     ,   X ,    ,   ,     ,     ,   ,   ,     ,     ,      ,
2009OKAD01, X ,   ,   ,   ,   X ,   X ,     ,     ,   X ,    ,   ,     ,     ,   ,   ,     ,     ,      ,
2014ARAK01, X ,   ,   ,   ,     ,     ,     ,     ,     ,    ,   ,     ,     ,   ,   ,     ,     ,      ,
