        ID,333,444,222,333bf,333fm,pyram
2010MISA01, X , X ,   ,   X ,     ,     
2012OKUH01, X , X , X ,   X ,   X ,   X 
2015TAKE01, X , X , X ,   X ,   X ,   X 
2012KOMA02, X ,   ,   ,     ,     ,     
2013MATS02, X , X , X ,   X ,   X ,   X 
2008TAKA01, X , X ,   ,   X ,   X ,     
2013HAYA02, X , X , X ,   X ,   X ,     
2009OKAY01,   ,   , X ,     ,   X ,     
2008MATS04, X ,   ,   ,   X ,     ,     
2006ARAK01, X ,   , X ,   X ,     ,     
2009KOBA02, X , X , X ,   X ,   X ,   X 
2009FUSH01, X ,   ,   ,     ,   X ,     
2014ISHI04, X , X , X ,   X ,   X ,   X 
2010TERA01, X ,   ,   ,   X ,   X ,   X 
2014ITOT01, X , X ,   ,     ,     ,     
2015ANZA01, X ,   ,   ,     ,     ,     
2015SUZU01, X ,   ,   ,     ,     ,   X 
2005UEDA01, X , X ,   ,     ,     ,     
2015ARAK03, X ,   ,   ,     ,     ,     
2008TANN02, X , X ,   ,     ,     ,     
2012MATS02, X ,   ,   ,     ,     ,     
2007HIRO01, X , X ,   ,     ,     ,     
2008PEPK01, X ,   ,   ,     ,     ,   X 
